movie_title,norm_title,year,critics_consensus,review_date,tomatometer_rating
Haunt,haunt,2019,"Haunt is spooked by the spirits of its obvious influences, but still packs enough thrills and chills to satisfy horror fans up for a haunted house excursion.",2019-08-24,70.0
The Haunted Mansion,the haunted mansion,2003,"Neither scary nor funny, The Haunted Mansion is as lifeless as the ghosts in the movie.",2003-11-22,14.0
Haunter,haunter,2013,"Haunter's premise is intriguing enough, though the film's too low budget to truly pull it off.",2013-03-10,56.0
The Haunting of Molly Hartley,the haunting of molly hartley,2008,"The Haunting of Molly Hartley is a rather lifeless horror endeavor, with a pedestrian plot and few scares.",2008-10-31,2.0
House (Hausu),house hausu,2009,House is a gleefully demented collage of grand guginol guffaws and bizarre sequences.,2009-08-28,90.0
Have a Good Trip: Adventures in Psychedelics,have a good trip adventures in psychedelics,2020,"Have a Good Trip: Adventures in Psychedelics is an entertaining enough look at hallucinogenics' effects, but its shallow treatment can't help but disappoint.",2020-05-05,58.0
Haywire,haywire,2011,"MMA star and first-time actress Gina Carano displays ample action-movie chops in Haywire, a fast-paced thriller with a top-notch cast and outstanding direction from Steven Soderbergh.",2011-11-07,80.0
He Got Game,he got game,1998,"Though not without its flaws, He Got Game finds Spike Lee near the top of his game, combining trenchant commentary with his signature visuals and a strong performance from Denzel Washington.",1998-05-01,81.0
"He Loves Me, He Loves Me Not",he loves me he loves me not,2002,This romantic thriller puts Tautou's sweetheart Amelie image to good use.,2002-10-15,71.0
He Named Me Malala,he named me malala,2015,"He Named Me Malala spotlights a worthy subject, but without the focus her story deserves.",2015-09-04,72.0
Head Count,head count,2018,"Head Count doesn't wrack up enough punchy scares to be an unqualified success as a horror outing, but an engaging cast and textured characters make it a refreshing genre exercise with something on its mind.",2018-10-01,68.0
Head of State,head of state,2003,Head of State squanders its potentially ripe premise with watered-down satire and formulaic gags.,2003-03-19,30.0
Head On,head on,1999,"Head On's narrative rambles at times, but its raw, sensual approach creates a powerful, resonant rumination on identity.",1999-08-13,63.0
Headhunters,headhunters,2011,"Grisly, twisty, and darkly comic, Headhunters is an exhilaratingly oddball take on familiar thriller elements.",2011-09-20,93.0
Heal the Living (Réparer les vivants),heal the living réparer les vivants,2016,"Beautifully filmed and powerfully written, Heal the Living interweaves seemingly disparate narrative threads to present a vibrant portrait of human connection.",2016-09-04,92.0
Heart of a Dog,heart of a dog,2015,"Of a piece with much of director Laurie Anderson's idiosyncratic output, Heart of a Dog delves into weighty themes with lyrical, haunting grace.",2015-09-05,96.0
Neil Young: Heart of Gold,neil young heart of gold,2006,"Proving that it's neither better to burn out nor fade away, Neil Young: Heart of Gold works both as a concert film and a meditation on mortality.",2006-01-26,90.0
"Question humaine, La, (Heartbeat Detector)",question humaine la heartbeat detector,2007,Gripping and provocative psychological thriller about corporate responsibility remains tense throughout and despite its long running time.,2007-05-19,80.0
Heartbreak Ridge,heartbreak ridge,2000,"With Heartbreak Ridge, director Clint Eastwood gets one of his best performances out of himself, even if the story struggles to engage.",2000-01-01,73.0
Heartburn,heartburn,2000,"Despite an astonishing collection of talent across the board, Heartburn's aimless plot inspires mild indigestion instead of romantic ardor.",2000-01-01,45.0
Heartless,heartless,1800,"Smart, well-acted, and unsettling, Heartless marks a mostly satisfying return to genre thrills for writer-director Philip Ridley.",1800-01-01,78.0
Hearts and Minds,hearts and minds,2000,"A powerful, unflinching exploration of the Vietnam War, with first-person stories from both sides of the conflict, Hearts and Minds still hits the mark decades after its release.",2000-01-01,90.0
Hearts Beat Loud,hearts beat loud,2018,"Thoroughly sweet, comfortably familiar, and elevated by the chemistry between Nick Offerman and Kiersey Clemons, Hearts Beat Loud offers feel-good father-daughter drama.",2018-01-24,92.0
Hearts in Atlantis,hearts in atlantis,2001,"Hearts in Atlantis is well-acted and beautiful to look at, but the movie is nothing more than a mood piece.",2001-09-10,49.0
Hearts of Darkness: A Filmmaker's Apocalypse,hearts of darkness a filmmakers apocalypse,1991,"Chronicling the filming of Apocalypse Now through Eleanor Coppola's empathetic and frank point of view, Hearts of Darkness is a revelatory investigation of moviemaking and how creative obsession can impact an artist's family.",1991-05-01,100.0
Wild Card,wild card,2015,"Hardcore Jason Statham fans may enjoy parts of Wild Card, but all other action aficionados need not apply.",2015-01-14,32.0
Heathers,heathers,2000,"Dark, cynical, and subversive, Heathers gently applies a chainsaw to the conventions of the high school movie -- changing the game for teen comedies to follow.",2000-01-01,93.0
Heaven,heaven,2002,The story is the weakest link in this gorgeous and well-acted film.,2002-04-09,74.0
Heaven Is for Real,heaven is for real,2014,"Heaven Is for Real boasts a well-written screenplay and a talented cast, but overextends itself with heavy-handed sequences depicting concepts it could have trusted the audience to take on faith.",2014-04-14,51.0
Heaven Knows What,heaven knows what,2014,"Grueling and rewarding in equal measure, Heaven Knows What hits hard -- and serves as a powerful calling card for its captivating star, Arielle Holmes.",2014-09-11,87.0
Heavenly Creatures,heavenly creatures,2000,"Dark, stylish, and captivating, Heavenly Creatures signals both the auspicious debut of Kate Winslet and the arrival of Peter Jackson as more than just a cult director.",2000-01-01,92.0
Heaven's Gate,heavens gate,2000,"Heaven's Gate contains too many ideas and striking spectacle to be a disaster, but this western buckles under the weight of its own sprawl.",2000-01-01,58.0
Heavy,heavy,2000,"With Pruitt Taylor Vince's naturalistic performance and sympathetic direction from James Mangold, Heavy soars as an affecting exploration of loneliness.",2000-01-01,86.0
Heavy Metal in Baghdad,heavy metal in baghdad,2008,"Despite being a Gonzo-esque rockumentary following the fortunes of Iraq's one and only heavy metal band, Acrassicauda, Heavy Metal is actually a moving and impassioned account of the middle-east crisis.",2008-04-15,83.0
Heavy Trip (Hevi reissu),heavy trip hevi reissu,2018,Heavy Trip's heartfelt humor and fully realized characters make this a journey well worth taking - and one of the best rock comedies in recent memory.,2018-03-12,94.0
Hector And The Search For Happiness,hector and the search for happiness,2014,"Simon Pegg remains as charming as ever, but Hector and the Search for Happiness drowns his appeal in schmaltz.",2014-08-11,37.0
Hedwig and the Angry Inch,hedwig and the angry inch,2001,"Hedwig and the Angry Inch may very well be the next Rocky Horror midnight movie. It not only knows how to rock, but Hedwig's story has an emotional poignancy.",2001-03-15,92.0
Heights,heights,2005,"Yet another movie about relationships in the Big Apple, Heights is never dull thanks to a competent cast.",2005-02-10,64.0
Held Up,held up,2000,Lackluster performances and fluff humor can't keep this wreck from sinking.,2000-01-01,17.0
Heli,heli,2013,"There's no denying the seriousness of Heli's story or the raw power of its more uncomfortable moments, but they're used in service of a grimly alienating film that many viewers may ultimately find unrewarding.",2013-05-16,59.0
Hell Baby,hell baby,2013,"Though its brand of immature comedy may appeal to some, Hell Baby misses the mark with much of its humor, rendering it a largely ineffective -- and often crass -- genre sendup.",2013-01-22,31.0
Hell Fest,hell fest,2018,"Hell Fest might give less demanding horror fans a few decent reasons to scream, but it's neither clever nor frightening enough to leave much of an impression.",2018-09-28,40.0
Hell House,hell house,2002,"A fascinating, even-handed account of Hell Houses.",2002-05-13,94.0
Hell or High Water,hell or high water,2016,"Hell or High Water offers a solidly crafted, well-acted Western heist thriller that eschews mindless gunplay in favor of confident pacing and full-bodied characters.",2016-05-16,97.0
Hellbound: Hellraiser II,hellbound hellraiser ii,2000,"Hellbound: Hellraiser II retains the twisted visual thrill of its predecessor, although seams in the plot are already starting to show.",2000-01-01,50.0
Hellboy,hellboy,2003,"With wit, humor and Guillermo del Toro's fantastic visuals, the entertaining Hellboy transcends the derivative nature of the genre.",2003-09-30,81.0
Hellboy,hellboy,2019,"Bereft of the imaginative flair that made earlier Hellboys so enjoyable, this soulless reboot suggests Dante may have left a tenth circle out of his Inferno.",2019-04-10,18.0
Hellboy II: The Golden Army (Hellboy 2),hellboy ii the golden army hellboy 2,2007,"Guillermo del Toro crafts a stellar comic book sequel, boasting visuals that are as imaginative as the characters are endearing.",2007-05-24,86.0
"Hello, Dolly!",hello dolly,2002,"Though Streisand charms, she's miscast as the titular middle-aged widow in Gene Kelly's sluggish and over-produced final directorial effort.",2002-12-20,43.0
Hello I Must Be Going,hello i must be going,2012,"Hello I Must Be Going offers an offbeat twist to the romance genre, a solid character study for fans of grown-up drama, and a career-making breakout vehicle for Melanie Lynskey.",2012-01-20,75.0
"Hello, My Name is Doris",hello my name is doris,2015,"Hello, My Name Is Doris is immeasurably elevated by Sally Field's remarkable performance in the title role, which overpowers a surfeit of stereotypical indie quirk.",2015-04-25,85.0
Hellraiser,hellraiser,2000,"Elevated by writer-director Clive Barker's fiendishly unique vision, Hellraiser offers a disquieting - and sadistically smart - alternative to mindless gore.",2000-01-01,72.0
Hemingway & Gellhorn,hemingway gellhorn,2012,"Nicole Kidman's poised performance provides some measure of reclamation for Martha Gellhorn, but this trite historical melodrama reduces Ernest Hemingway and the era that the two war correspondents lived through into a broad caricature.",2012-05-25,49.0
Henry: Portrait of a Serial Killer,henry portrait of a serial killer,1986,"Henry: Portrait of a Serial Killer is an effective, chilling profile of a killer that is sure to shock and disturb.",1986-09-24,87.0
Henry Poole Is Here,henry poole is here,2008,"Full of Hallmark-truisms and pop songs presented with strained significance, this comic foible intends less to convert than to preach to the choir.",2008-01-23,40.0
Henry V (The Chronicle History of King Henry the Fift with His Battell Fought at Agincourt in France),henry v the chronicle history of king henry the fift with his battell fought at agincourt in france,2000,"A patriotic booster, Laurence Olivier's directorial debut and star turn as Henry V result in a sharply realized and resonant take on Shakespeare's deeply British warrior king.",2000-01-01,100.0
Henry's Crime,henrys crime,2010,"Supporting actors Vera Farmiga and James Caan give the movie a little heft, but Henry's Crime is an otherwise predictable heist/comedy with slow pacing.",2010-09-22,42.0
Her,her,2013,"Sweet, soulful, and smart, Spike Jonze's Her uses its just-barely-sci-fi scenario to impart wryly funny wisdom about the state of modern human relationships.",2013-10-12,95.0
Herb & Dorothy,herb dorothy,2008,"While perhaps not as probing as it could have been, Megumi Sasaki's languidly paced documentary is as entertaining as it is inspiring.",2008-01-01,96.0
Wild Grass (Les Herbes Folles),wild grass les herbes folles,2009,"Precious to a fault, Wild Grass finds 88-year-old director Alain Resnais as joyously unconstrained as ever.",2009-05-21,68.0
Herbie: Fully Loaded,herbie fully loaded,2005,Herbie: Fully Loaded is a decent kids movie that is pretty undemanding for adult viewers.,2005-06-20,40.0
Hercules,hercules,1997,"Fast-paced and packed with dozens of pop culture references, Hercules might not measure up with the true classics of the Disney pantheon, but it's still plenty of fun.",1997-06-15,84.0
Hercules,hercules,2014,Hercules has Brett Ratner behind the cameras and Dwayne Johnson rocking the loincloth -- and delivers exactly what any reasonable person reading that description might expect.,2014-07-23,58.0
Here Comes the Boom,here comes the boom,2012,Here Comes the Boom benefits from Kevin James's genial presence but the film doesn't deliver enough laughs to live up to its title -- or enough satisfying plot to make up the difference.,2012-10-07,41.0
Here Comes the Devil,here comes the devil,2012,"The power of Here Comes the Devil's atmospheric dread compels, but the plot and mystery are too muddled to leave a lasting impression.",2012-09-11,46.0
Here on Earth,here on earth,2000,"Critics say Here on Earth's weakness comes from its script. The story may appeal to young teenage girls, but it suffers from being overly sentimental and formulaic. The cinematography, however, is lovely in how it captures its Minnesota setting.",2000-01-01,17.0
Hereafter,hereafter,2010,"Despite a thought-provoking premise and Clint Eastwood's typical flair as director, Hereafter fails to generate much compelling drama, straddling the line between poignant sentimentality and hokey tedium.",2010-09-13,47.0
Hereditary,hereditary,2018,"Hereditary uses its classic setup as the framework for a harrowing, uncommonly unsettling horror film whose cold touch lingers long beyond the closing credits.",2018-01-23,89.0
Hero,hero,2002,"With death-defying action sequences and epic historic sweep, Hero offers everything a martial arts fan could ask for.",2002-12-20,95.0
He's Just Not That Into You,hes just not that into you,2009,"Despite the best efforts of a talented cast, He's Just Not That Into You devotes too little time to each of its protagonists, thus reducing them to stereotypes.",2009-02-02,42.0
Hesher,hesher,2010,"It has a dark sense of humor and a refreshing lack of sentimentality, but like its title character, Hesher isn't really interested in going anywhere.",2010-01-25,55.0
Hey Arnold! The Movie,hey arnold the movie,2002,"Bland, unoriginal, and lacking the wit of the TV series, Hey Arnold is a 30 min cartoon stretched beyond its running time.",2002-05-13,29.0
Hick,hick,2011,Hick's talented young star is ill served by a film whose story wavers between discomfitingly inappropriate and simply muddled.,2011-09-20,5.0
Hidalgo,hidalgo,2004,"The scenery looks great, but this overstuffed horse story contains too much cheese.",2004-02-01,46.0
The Hidden Blade,the hidden blade,2005,A slow and steady samurai flick a la John Ford that brings emotions and psychology to an epic-scale adventure.,2005-09-15,84.0
Hidden Figures,hidden figures,2016,"In heartwarming, crowd-pleasing fashion, Hidden Figures celebrates overlooked -- and crucial -- contributions from a pivotal moment in American history.",2016-12-10,93.0
Hide,hide,2009,"Cleverly written and directed, this is a tight, atmospheric and claustrophobic low budget British thriller.",2009-05-28,83.0
High Tension (Switchblade Romance),high tension switchblade romance,2003,"There is indeed a good amount of tension in this French slasher, but the dubbing is bad and the end twist unbelievable.",2003-10-01,41.0
High Anxiety,high anxiety,2002,"Uneven but hilarious when it hits, this spoof of Hitchcock movies is a minor classic in the Mel Brooks canon.",2002-07-25,72.0
High Art,high art,2000,A surprisingly sultry performance from Ally Sheedy elevates High Art from pretentious melodrama to compelling -- if still a little pretentious -- romance.,2000-01-01,73.0
High Crimes,high crimes,2002,Ashley Judd and Morgan Freeman make this predictable affair watchable.,2002-04-02,31.0
High Flying Bird,high flying bird,2019,High Flying Bird takes a thoughtful and engrossing look at professional sports that sees Steven Soderbergh continuing to test the limits of new filmmaking technology.,2019-01-28,92.0
High Life,high life,2018,"High Life is as visually arresting as it is challenging, confounding, and ultimately rewarding - which is to say it's everything film fans expect from director Claire Denis.",2018-09-10,82.0
High Plains Drifter,high plains drifter,2000,"Clint Eastwood's sophomore outing as director sees him back in the saddle as a mysterious stranger, as the result is one of his most memorable Westerns.",2000-01-01,92.0
High-Rise,highrise,2015,"High-Rise may not quite live up to its classic source material, but it still offers an energetic, well-acted, and thought-provoking take on its timely socioeconomic themes.",2015-09-14,60.0
High School Musical,high school musical,2006,"High School Musical is brazenly saccharine, but it makes up for it with its memorable show tunes, eye-popping choreography, and appealing cast.",2006-05-27,63.0
High School Musical 2,high school musical 2,2007,"Surprisingly better than its predecessor, High School Musical 2 returns to enchant tweens with its snappy songs, wicked dance moves, and peppy spirit.",2007-12-12,82.0
Higher Ground,higher ground,2011,"With Higher Ground, star and debuting director Vera Farmiga takes viewers on a challenging spiritual journey whose missteps are easily overcome by its many rich rewards.",2011-01-25,82.0
Higher Learning,higher learning,2000,"It's hard to fault Higher Learning's goals; unfortunately, writer-director John Singleton too often struggles to fit his themes within a consistently engaging story.",2000-01-01,45.0
Highlander,highlander,2000,"People hate Highlander because it's cheesy, bombastic, and absurd. And people love it for the same reasons.",2000-01-01,69.0
Highlander 2: The Quickening,highlander 2 the quickening,2000,There should have been only one.,2000-01-01,0.0
Highlander III: The Sorcerer (Highlander: The Final Dimension),highlander iii the sorcerer highlander the final dimension,2000,"Borderline unwatchable and unspeakably dull, Highlander III is a sloppy third installment that still somehow manages to mark a slight improvement over its predecessor.",2000-01-01,5.0
Highlander: Endgame,highlander endgame,2000,"The fourth and supposedly last Highlander movie is a confusing mess, complete with bad acting and dialogue.",2000-01-01,11.0
Hilary and Jackie,hilary and jackie,1998,"Brilliant performances, lush cinematography, and complex storytelling deserve audience's attention.",1998-12-30,88.0
Hillary's America: The Secret History of the Democratic Party,hillarys america the secret history of the democratic party,2016,Hillary's America: The Secret History of the Democratic Party finds Dinesh D'Souza once again preaching to the right-wing choir -- albeit less effectively than ever.,2016-07-15,4.0
The Hills Have Eyes,the hills have eyes,2006,"Faster paced for today's audiences, this Hills remake ratchets up the gore for the hardcore horror fans, but will turn away casual audiences.",2006-01-30,52.0
The Hills Have Eyes 2,the hills have eyes 2,2007,"The Hills Have Eyes 2 is a completely unoriginal sequel offers plenty of gore and clichés, but few scares.",2007-03-17,12.0
Himalaya (L'Enfance d'un Chef) (Caravan),himalaya lenfance dun chef caravan,2001,"Unlike the overproduced and overbudgeted Hollywood blockbusters, Himalaya is a stunningly photographed movie that offers an intimate look into the lives of a Dolpo tribe.",2001-03-20,87.0
Himizu,himizu,2012,"Himizu tells a coming-of-age story writ large, with powerfully realized characters used to explore impactful -- albeit uncomfortable -- ideas on a national scale.",2012-04-12,95.0
The Hip Hop Project,the hip hop project,2006,"Director Matt Ruskin's enthusiasm for the project is readily apparent, but his film is unfocused, meandering, and frustrating to watch.",2006-04-27,59.0
Hipsters,hipsters,2010,"Breezy, colorful, and suffused with joy, Hipsters offers audiences an engaging Cold War musical told from the other side of the Iron Curtain.",2010-09-02,80.0
Hiroshima Mon Amour,hiroshima mon amour,2000,"Distinguished by innovative technique and Emmanuelle Riva's arresting performance, Hiroshima Mon Amour is a poignant love story as well as a thoughtful meditation on international trauma.",2000-01-01,97.0
The Golden Compass,the golden compass,2007,"Without the bite or the controversy of the source material, The Golden Compass is reduced to impressive visuals overcompensating for lax storytelling.",2007-11-28,42.0
His Girl Friday,his girl friday,2000,"Anchored by stellar performances from Cary Grant and Rosalind Russell, His Girl Friday is possibly the definitive screwball romantic comedy.",2000-01-01,98.0
The History Boys,the history boys,2006,"While not quite having the impact of its original stage version, The History Boys nevertheless is a witty and involving school drama.",2006-10-05,66.0
History of the World---Part I,history of the worldpart i,2002,"History of the World: Part I may not have enough comedic inspiration to merit a Part II, but the sporadic cleverness of these anachronistic skits are still a testament to Mel Brooks' gift for farce.",2002-07-26,58.0
A History of Violence,a history of violence,2005,"A History of Violence raises compelling and thoughtful questions about the nature of violence, while representing a return to form for director David Cronenberg in one of his more uncharacteristic pieces.",2005-05-16,87.0
Hit & Run,hit run,2012,"Though Hit & Run has some surprisingly oft-kilter filmmaking, the action doesn't add to much and the writing's a bit smug.",2012-08-17,48.0
Hit and Runway,hit and runway,2001,"This Odd Couple comedy misses more than hits in terms of laughs, and the plot twists make little sense.",2001-02-21,32.0
Hitch,hitch,2005,"Despite Hitch's predictability, Will Smith and Kevin James win praise for their solid, warmhearted performances.",2005-02-01,69.0
Hitchcock,hitchcock,2012,"Though it suffers from tonal inconsistency and a lack of truly insightful retrospection, Hitchcock is elevated by inspired performances from its two distinguished leads.",2012-11-03,60.0
Hitchcock/Truffaut,hitchcocktruffaut,2015,"Essential viewing for cineastes while still offering rich rewards for neophytes, Hitchcock/Truffaut offers an affectionate -- and well-crafted -- tribute to a legend.",2015-09-10,96.0
The Hitcher,the hitcher,2007,"Sean Bean tries giving motive and emotion to The Hitcher, but director Dave Meyers is more interested in cheap shocks, and gratuitous gore and torture.",2007-01-18,19.0
The Hitchhiker's Guide to the Galaxy,the hitchhikers guide to the galaxy,2004,"A frantic and occasional funny adaptation of Douglas Adams' novel. However, it may have those unfamiliar with the source material scratching their heads.",2004-01-14,60.0
Hitman,hitman,2007,"Hitman features the unfortunate combination of excessive violence, incoherent plot, and inane dialogue.",2007-11-20,15.0
Hitman: Agent 47,hitman agent 47,2015,"Hitman: Agent 47 fails to clear the low bar set by its predecessor, forsaking thrilling action in favor of a sleekly hollow mélange of dull violence and product placement.",2015-08-19,9.0
Hobo With a Shotgun,hobo with a shotgun,2011,"It certainly isn't subtle -- or even terribly smart -- but as a gleefully gory homage to low-budget exploitation thrillers, Hobo with a Shotgun packs plenty of firepower.",2011-01-22,66.0
Hockney,hockney,2014,"Hockney offers few revelations for viewers familiar with its subject, but it remains an affectionate and thoroughly entertaining look at a British national treasure.",2014-11-24,85.0
Hocus Pocus,hocus pocus,1993,"Harmlessly hokey yet never much more than mediocre, Hocus Pocus is a muddled family-friendly effort that fails to live up to the talents of its impressive cast.",1993-07-16,37.0
Hoffa,hoffa,1992,"Jack Nicholson embodies Hoffa with malevolent relish, but a dearth of meaningful insight knocks this crime epic off the mark by a nose.",1992-12-25,52.0
Hold the Dark,hold the dark,2018,Hold the Dark's unsettling aesthetic offers more of what filmgoers expect from director Jeremy Saulnier - and is often enough to prop up shaky narrative underpinnings.,2018-09-13,71.0
Holding The Man,holding the man,2015,"Heart-wrenching performances center Holding the Man, an achingly beautiful portrayal of love and death that may be too real for some.",2015-07-20,81.0
Holes,holes,2003,"Faithful to its literary source, this is imaginative, intelligent family entertainment.",2003-04-13,78.0
Holiday Inn,holiday inn,2000,"With the combined might of Bing Crosby, Fred Astaire, and Irving Berlin working in its favor, Holiday Inn is a seasonal classic -- not least because it introduced ""White Christmas"" to the world.",2000-01-01,100.0
Hollow Man,hollow man,2000,"Despite awesome special effects, Hollow Man falls short of other films directed by Paul Verhoeven. This flick over time degenerates into a typical horror film.",2000-01-01,27.0
Holly,holly,2007,"Despite some execution problems, Holly remains a realistic and gritty look at child sex slavery.",2007-08-04,65.0
Hollywood Ending,hollywood ending,2002,"Although Hollywood Ending contains some zany one-liners, its promising premise is far from developed.",2002-04-24,46.0
Hollywood Homicide,hollywood homicide,2003,Hollywood Homicide suffers from too many subplots and not enough laughs.,2003-06-06,30.0
Hollywood Shuffle,hollywood shuffle,2000,"Hollywood Shuffle overcomes budgetary constraints with sharp humor and infectious energy, heralding the arrival of an exciting new filmmaking talent in the bargain.",2000-01-01,88.0
Hollywoodland,hollywoodland,2006,"More than a movie star murder mystery, Hollywoodland takes it slow in order to reveal the intriguing details of the rise and fall of superstar fame.",2006-08-04,68.0
Holmes and Watson,holmes and watson,2018,The lowest and vilest alleys in London do not present a more dreadful record of the adventures of Sherlock Holmes and Dr. Watson than does Holmes and Watson.,2018-12-20,10.0
Holy Man,holy man,1998,"Cloying and unfunny, Holy Man wastes the repartee between Eddie Murphy and Jeff Goldblum on the gospel of toothless satire and unearned sentimentality.",1998-10-09,12.0
Holy Motors,holy motors,2012,"Mesmerizingly strange and willfully perverse, Holy Motors offers an unforgettable visual feast alongside a spellbinding -- albeit unapologetically challenging -- narrative.",2012-05-23,92.0
The Holy Mountain,the holy mountain,2002,"A visual treat rich in symbolism, The Holy Mountain adds another defiantly idiosyncratic chapter to Jodorowsky's thoroughly unique filmography.",2002-11-13,83.0
Holy Rollers,holy rollers,2010,"Despite a promising premise and a solid central performance from Jesse Eisenberg, Holy Rollers lacks the depth necessary to overcome its cliched script.",2010-01-26,52.0
Holy Smoke,holy smoke,2000,Superb performances hindered by weak script and incoherent story.,2000-01-01,45.0
Home,home,2015,"Colorful, silly, and utterly benign, Home is a passable diversion, but there's no shortage of superior animated alternatives.",2015-03-08,51.0
Home Again,home again,2017,Home Again gathers a talented crowd of rom-com veterans on both sides of the camera -- all of whom have unfortunately done far better work.,2017-09-05,32.0
Home Alone,home alone,1990,Home Alone uneven but frequently funny premise stretched unreasonably thin is buoyed by Macaulay Culkin's cute performance and strong supporting stars.,1990-11-16,65.0
Home Alone 2: Lost in New York,home alone 2 lost in new york,1992,A change of venue -- and more sentimentality and violence -- can't obscure the fact that Home Alone 2: Lost in New York is a less inspired facsimile of its predecessor.,1992-11-15,33.0
Home Alone 3,home alone 3,2000,"Macaulay Culkin's precocious charisma is sorely missed in this hollow sequel, which doubles down on the broad comedy while lacking all the hallmarks that made the original a classic.",2000-01-01,29.0
A Home at the End of the World,a home at the end of the world,2004,"A Home at the End of the World aims for profundity, but settles for stale melodrama, yielding a slew of sensitive performances that are nevertheless in service of characters who prove to be ciphers.",2004-06-30,50.0
Home Fries,home fries,1998,"Screenwriter Vince Gilligan's mordant sense of humor strikes a discordant note in Home Fries, a romantic caper full of empty calories.",1998-11-25,31.0
Home of the Brave,home of the brave,2006,"The ensemble cast works hard, but hammy direction and a script lacking in nuance ruins this movie's noble intentions.",2006-12-06,23.0
Home on the Range,home on the range,2004,"Though Home on the Range is likeable and may keep young children diverted, it's one of Disney's more middling titles, with garish visuals and a dull plot.",2004-03-30,53.0
Home Room,home room,2003,Honorable intentions and some strong performances aren't enough to keep Home Room from occasionally slipping into distractingly didactic messaging.,2003-07-16,55.0
Home Sweet Hell,home sweet hell,2015,"Home Sweet Hell mistakes misogyny for subversive wit, aiming for black comedy but ending up with a grueling test of viewer endurance that wastes game efforts from its likable leads.",2015-02-12,5.0
Homecoming: A Film by Beyoncé,homecoming a film by beyoncé,2019,Beychella forever.,2019-04-17,98.0
Homefront,homefront,2013,"While it boasts a capable cast, the disappointingly dull Homefront hearkens back to classic action thrillers without adding anything to the genre.",2013-11-21,43.0
Homeward Bound - The Incredible Journey,homeward bound the incredible journey,1993,"Disney's remake of The Incredible Journey successfully replicates, and in some ways improves upon, the simple charms of the original, with its cross-country animal odyssey sure to delight kids.",1993-02-03,87.0
Honey,honey,2003,An attractive Jessica Alba and energetic dance numbers provide some lift to this corny and formulaic movie.,2003-11-30,21.0
"Honey, I Shrunk the Kids",honey i shrunk the kids,2000,"Even as its special effects take center stage, Honey, I Shrunk the Kids still offers a charming, high-spirited sense of adventure for the whole family.",2000-01-01,76.0
Honeydripper,honeydripper,2007,"Honeydripper's electric musical numbers and sharp performances make for an exciting film, despite its slow pace.",2007-09-11,69.0
Honeymoon,honeymoon,2014,"Smart, stylish, and nail-bitingly tense, Honeymoon packs more slow-building horror than many bigger-budget productions.",2014-05-02,75.0
Honeymoon in Vegas,honeymoon in vegas,1992,Honeymoon in Vegas is a light screwball comedy that has just about what you expect (and nothing you don't).,1992-08-28,63.0
Honkytonk Man,honkytonk man,2003,"Clint Eastwood succeeds in revealing his softer side in Honkytonk Man, a surprisingly sweet and heartwarming road movie that hums along at a pleasant pace.",2003-05-24,93.0
Hoodwinked Too! Hood vs Evil,hoodwinked too hood vs evil,2011,"It may add 3D to the original, but Hoodwinked Too! is missing the first installment's wit and refreshingly low-budget charm.",2011-04-24,11.0
Hook,hook,1991,"The look of Hook is lively indeed but Steven Spielberg directs on autopilot here, giving in too quickly to his sentimental, syrupy qualities.",1991-12-11,29.0
Hooking Up,hooking up,2020,Hooking Up highlights Sam Richardson and Brittany Snow's strengths as leads -- and their limitations when saddled with a deeply subpar script.,2020-03-16,30.0
Hoop Dreams,hoop dreams,1994,"One of the most critically acclaimed documentaries of all time, Hoop Dreams is a rich, complex, heartbreaking, and ultimately deeply rewarding film that uses high school hoops as a jumping-off point to explore issues of race, class, and education in modern America.",1994-10-14,98.0
Hoosiers,hoosiers,2000,"It may adhere to the sports underdog formula, but Hoosiers has been made with such loving craft, and features such excellent performances, that it's hard to resist.",2000-01-01,89.0
Hoot,hoot,2006,"Lacking energy and humor, Hoot is a ho-hum story of eco-awareness that falls flat as a pancake.",2006-04-26,26.0
Hop,hop,2011,"It's impressively animated, but Hop's script is so uninspired that not even James Marsden's frantic mugging can give it any bounce.",2011-03-27,24.0
Hope Floats,hope floats,1998,"Hope Floats sinks under a deluge of melodramatic turns and syrupy sentimentality, although Sandra Bullock remains a winning star.",1998-05-29,26.0
Hope Springs,hope springs,2012,"Led by a pair of mesmerizing performances from Meryl Streep and Tommy Lee Jones, Hope Springs offers filmgoers some grown-up laughs -- and a thoughtful look at mature relationships.",2012-08-01,75.0
Horns,horns,2013,"Horns is a bit of a tonal jumble, but it offers enough thoughtful horror-comedy -- and strong work from Daniel Radcliffe -- to hook genre enthusiasts.",2013-09-07,41.0
Horrible Bosses,horrible bosses,2011,"It's nasty, uneven, and far from original, but thanks to a smartly assembled cast that makes the most of a solid premise, Horrible Bosses works.",2011-07-05,69.0
Horrible Bosses 2,horrible bosses 2,2014,"Horrible Bosses 2 may trigger a few belly laughs among big fans of the original, but all in all, it's a waste of a strong cast that fails to justify its own existence.",2014-11-12,34.0
Horror of Dracula,horror of dracula,2002,"Trading gore for grandeur, Horror of Dracula marks an impressive turn for inveterate Christopher Lee as the titular vampire, and a typical Hammer mood that makes aristocracy quite sexy.",2002-10-27,90.0
Horse Girl,horse girl,2020,"Horse Girl proves unwilling or unable to explore the deeper themes it addresses, but this unusual drama is anchored by Alison Brie's committed performance.",2020-01-28,70.0
