movie_title,norm_title,year,critics_consensus,review_date,tomatometer_rating
Angel Heart,angel heart,2000,"Angel Heart lures viewers into its disturbing, brutal mystery with authentic noir flair and a palpably hypnotic mood.",2000-01-01,79.0
Old Dogs,old dogs,2009,"Its cast tries hard, but Old Dogs is a predictable, nearly witless attempt at physical comedy and moral uplift that misses the mark on both counts.",2009-11-23,5.0
Surrogates,surrogates,2009,"Though it sports a slick look and feel, Surrogates fails to capitalize on a promising premise, relying instead on mindless action and a poor script.",2009-09-23,37.0
The Promotion,the promotion,2008,"With a workplace-related theme worthy of satire, The Promotion features some sharp witticisms but ultimately disappoints.",2008-03-10,53.0
Notorious,notorious,2009,"A biopic that lacks the luster of its subject, Notorious is generic rise-and-fall fare that still functions as a primer for those less familiar with the work and life of the hip hop icon.",2009-01-05,52.0
Soul Men,soul men,2008,"Soul Men features lively performances from Bernie Mac and Samuel L. Jackson and some hilarious moments, but ultimately suffers from an unoriginal script.",2008-11-01,46.0
Igor,igor,2008,"With an animation style that apes Tim Burton, and a slew of cultural references that aren't clear enough to reach the crowds, Igor's patched together antics make it hard to see who the film is trying to please.",2008-09-11,39.0
Sin Nombre,sin nombre,2009,"Part harrowing immigration tale, part gangster story, this debut by writer/director Cary Fukunaga is sensitive, insightful and deeply authentic.",2009-02-24,88.0
The Stone Angel,the stone angel,2008,"Despite fine performances from Ellen Burstyn and newcomer Christine Horne, The Stone Angel fails to escape formulaic melodrama territory.",2008-05-09,44.0
Alvin and the Chipmunks: The Squeakquel,alvin and the chipmunks the squeakquel,2009,"This Squeakquel may entertain the kiddies, but it's low on energy and heavily reliant on slapstick humor.",2009-12-18,20.0
Un Conte de Noël (A Christmas Tale),un conte de noël a christmas tale,2008,"A sharp black comedy about a chaotic family holiday gathering, A Christmas Tale is always involving, thanks to an impressive ensemble cast.",2008-05-16,86.0
"1,000 Times Good Night",1000 times good night,2013,"Beautifully filmed and powerfully acted, 1,000 Times Good Night achieves absorbing fact-based drama without overindulging in Hollywood contrivances.",2013-12-07,71.0
Push,push,2009,The sci-fi thriller Push is visually flashy but hyperkinetic and convoluted.,2009-02-02,23.0
Felon,felon,2008,"Felon offers a rather hackneyed depiction of prison life, but is held together by a pleasantly complex plot and solid performances from Kilmer and Dorff.",2008-07-14,63.0
Scar,scar,2007,"A nasty, witless and unoriginal entry into the torture porn canon with hopeless acting and a waste of modern 3D technology.",2007-05-20,0.0
The Unborn,the unborn,2009,David Goyer's Unborn is a tame genre effort with cheap thrills and scares that border on silliness.,2009-01-06,10.0
Chocolate,chocolate,2008,"Chocolate is a bizarre martial arts flick, with a slushy plot, an unusual protagonist, and breathtaking stunts.",2008-02-06,74.0
Splinter,splinter,2008,"Never taking itself too seriously, Splinter scores as a fast-paced, fun thriller with more than enough scares.",2008-09-17,73.0
Leaves of Grass,leaves of grass,2009,"Edward Norton delivers one of his finest performances in Leaves of Grass, but he's overpowered by the movie's many jarring tonal shifts.",2009-09-15,61.0
The Proposal,the proposal,2009,"Sandra Bullock and Ryan Reynolds exhibit plenty of chemistry, but they're let down by The Proposal's devotion to formula.",2009-06-12,45.0
Gigantic,gigantic,2008,"This overly quirky, incessantly whimsical indie is too self-conscious for its own good.",2008-11-07,36.0
Orphan,orphan,2009,"While it has moments of dark humor and the requisite scares, Orphan fails to build on its interesting premise and degenerates into a formulaic, sleazy horror/thriller.",2009-07-22,56.0
My Sister's Keeper,my sisters keeper,2009,"My Sister's Keeper gets fine performances from its adult and child actors, but the director's heavy-handed approach turns a worthy emotional subject into an overly melodramatic tearjerker.",2009-06-22,48.0
The Hangover,the hangover,2009,"With a clever script and hilarious interplay among the cast, The Hangover nails just the right tone of raunchy humor, and the non-stop laughs overshadow any flaw.",2009-05-23,78.0
